longitude	frequency power [Hz]	spectral density [dB/Hz]	doppler
 016	1419829750.0	3.18451	998893872.7950277
 016	1419869750.0	3.1891700000000003	998922014.0246024
 016	1419877750.0	3.1983599999999996	998927642.2705173
 016	1420033750.0	3.3211800000000005	999037393.0658588
 016	1419781750.0	3.14681	998860103.319538
 016	1419841750.0	3.16975	998902315.1639001
 016	1419901750.0	3.19272	998944527.0082623
 016	1419833750.0	3.15266	998896686.9179852
 016	1419789750.0	3.15073	998865731.5654529
 016	1419849750.0	3.17824	998907943.4098151
 016	1419769750.0	3.1261799999999997	998851660.9506656
 016	1419773750.0	3.1268	998854475.0736231
 016	1419793750.0	3.1386700000000003	998868545.6884104
 016	1419853750.0	3.1808400000000003	998910757.5327725
 016	1419669750.0	3.03628	998781307.8767288
 016	1419857750.0	3.17997	998913571.65573
 016	1419861750.0	3.1782	998916385.7786875
 016	1419881750.0	3.18552	998930456.3934748
 016	1419885750.0	3.20343	998933270.5164324
 016	1419665750.0	3.05458	998778493.7537713
 016	1419893750.0	3.1898	998938898.7623473
 016	1419777750.0	3.1245	998857289.1965805
 016	1419713750.0	3.08638	998812263.2292609
 016	1419785750.0	3.14542	998862917.4424955
 016	1419673750.0	3.0535200000000002	998784121.9996862
 016	1419677750.0	3.03818	998786936.1226437
 016	1419681750.0	3.05971	998789750.2456012
 016	1419685750.0	3.07482	998792564.3685586
 016	1419689750.0	3.08396	998795378.4915161
 016	1419693750.0	3.08984	998798192.6144736
 016	1419697750.0	3.06966	998801006.737431
 016	1419701750.0	3.07437	998803820.8603885
 016	1419705750.0	3.0800799999999997	998806634.983346
 016	1419837750.0	3.17175	998899501.0409427
 016	1420113750.0	3.45676	999093675.5250084
 016	1419657750.0	3.04055	998772865.5078562
 016	1419717750.0	3.08513	998815077.3522184
 016	1419725750.0	3.10163	998820705.5981333
 016	1419729750.0	3.09635	998823519.7210908
 016	1419733750.0	3.10003	998826333.8440483
 016	1419737750.0	3.09343	998829147.9670058
 016	1419741750.0	3.12023	998831962.0899633
 016	1419745750.0	3.11076	998834776.2129208
 016	1419749750.0	3.09552	998837590.3358783
 016	1419753750.0	3.09463	998840404.4588357
 016	1419757750.0	3.11318	998843218.5817932
 016	1419761750.0	3.10908	998846032.7047507
 016	1419765750.0	3.12396	998848846.8277081
 016	1419709750.0	3.08133	998809449.1063035
 016	1419721750.0	3.09041	998817891.4751759
 016	1420109750.0	3.44096	999090861.4020509
 016	1419409750.0	3.1859599999999997	998598389.8844929
 016	1420125750.0	3.48081	999102117.8938808
